,noise_level,algorithm,barycenter_distance,max_amplitude,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
325,0.0,Debiased Sinkhorn,0.0,0.5430056278475031,,minmax,,,,,,0.01,100000000.0
326,0.0,Debiased Sinkhorn,0.0,0.5430056278475031,,minmax,,,,,,0.01,1000000.0
327,0.0,Debiased Sinkhorn,0.0,0.5430056278474953,,minmax,,,,,,0.01,100000.0
328,0.0,Debiased Sinkhorn,0.0,0.7598374897023631,,minmax,,,,,,0.05,10000000.0
329,0.0,Debiased Sinkhorn,0.0,0.759837489702366,,minmax,,,,,,0.05,100000.0
334,0.0,Debiased Sinkhorn,0.0,0.2350782133021787,,minmax,,,,,,0.5,500.0
335,0.0,Debiased Sinkhorn,0.0,0.2806805610071336,,minmax,,,,,,0.5,750.0
337,0.0,Debiased Sinkhorn,0.0,0.07462046959923903,,minmax,,,,,,0.7,100.0
338,0.0,Debiased Sinkhorn,0.0,0.20827250780428624,,minmax,,,,,,0.7,750.0
400,0.0,Entropic Regularized,0.0,0.012481019515868698,,,,0.1,,,,,
401,0.0,Entropic Regularized,0.0,0.009628511316654155,,,,0.5,,,,,
402,0.0,Entropic Regularized,0.0,0.008130325944645824,,,,0.75,,,,,
403,0.0,Entropic Regularized,0.0,0.0070549652123592455,,,,1.0,,,,,
404,0.0,Entropic Regularized,0.0,0.015369753391953653,,,,4.0,,,,,
253,0.0,KBCM,0.3854770043313993,0.0004283747498423756,,,,0.6,5.0,100.0,,,
40,0.0,TLp,0.3034709031252583,0.0004029338370743208,0.001,minmax,10-100,0.9,5.0,,,,
41,0.0,TLp,0.3034709031252583,0.0004029338370743208,0.001,zeroone,10-100,0.9,5.0,,,,
350,0.1,Debiased Sinkhorn,0.0019999165501852173,0.10277027194503917,,minmax,,,,,,0.5,1000.0
409,0.1,Entropic Regularized,0.004772530590996709,0.0028649380871867704,,,,0.1,,,,,
269,0.1,KBCM,0.22288437865576655,0.00044907896838903915,,,,0.6,5.0,100.0,,,
88,0.1,TLp,0.18157284318208494,0.0004253483885156332,0.001,minmax,10-100,0.9,5.0,,,,
89,0.1,TLp,0.18157284318208494,0.0004253483885156332,0.001,zeroone,10-100,0.9,5.0,,,,
361,0.2,Debiased Sinkhorn,0.012160476304881675,0.2899385717473513,,minmax,,,,,,0.2,2500.0
417,0.2,Entropic Regularized,0.0031364449508964162,0.002279117743064562,,,,0.05,,,,,
285,0.2,KBCM,0.17609765402058344,0.00045989407078186135,,,,0.6,5.0,100.0,,,
136,0.2,TLp,0.13643989985246172,0.0004367426412892777,0.001,minmax,10-100,0.9,5.0,,,,
137,0.2,TLp,0.13643989985246172,0.0004367426412892777,0.001,zeroone,10-100,0.9,5.0,,,,
371,0.5,Debiased Sinkhorn,0.0222267732435652,0.08038599756387478,,minmax,,,,,,1e-05,100.0
426,0.5,Entropic Regularized,0.0026271104842398164,0.0012712381758863795,,,,0.05,,,,,
301,0.5,KBCM,0.11906060424592645,0.00047458247526409406,,,,0.6,5.0,100.0,,,
184,0.5,TLp,0.08774951366771568,0.0004516276450838704,0.001,minmax,10-100,0.9,5.0,,,,
185,0.5,TLp,0.08774951366771568,0.0004516276450838704,0.001,zeroone,10-100,0.9,5.0,,,,
186,0.5,TLp,0.08774951366771568,0.0004516276468173923,0.05,minmax,10-100,0.9,5.0,,,,
187,0.5,TLp,0.08774951366771568,0.0004516276468173923,0.05,zeroone,10-100,0.9,5.0,,,,
188,0.5,TLp,0.08774951366771568,0.00045162764858629054,0.1,minmax,10-100,0.9,5.0,,,,
189,0.5,TLp,0.08774951366771568,0.00045162764858629054,0.1,zeroone,10-100,0.9,5.0,,,,
384,1.0,Debiased Sinkhorn,0.0020888298945817185,0.122435079392523,,minmax,,,,,,1e-05,100.0
435,1.0,Entropic Regularized,0.005559477298894328,0.0004663360721724796,,,,0.05,,,,,
317,1.0,KBCM,0.08873515500532449,0.0004720739498584045,,,,0.6,5.0,100.0,,,
232,1.0,TLp,0.06472124466084112,0.00045048853703542365,0.001,minmax,10-100,0.9,5.0,,,,
233,1.0,TLp,0.06472124466084112,0.00045048853703542365,0.001,zeroone,10-100,0.9,5.0,,,,
234,1.0,TLp,0.06472124466084112,0.00045048853787197404,0.05,minmax,10-100,0.9,5.0,,,,
235,1.0,TLp,0.06472124466084112,0.00045048853787197404,0.05,zeroone,10-100,0.9,5.0,,,,
236,1.0,TLp,0.06472124466084112,0.000450488538725596,0.1,minmax,10-100,0.9,5.0,,,,
237,1.0,TLp,0.06472124466084112,0.000450488538725596,0.1,zeroone,10-100,0.9,5.0,,,,
