,noise_level,algorithm,file_name,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,epsilon,intensity,iter,reg,iters,sample,eta,outer-inner,samples
20,0,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.000_eps_0.05_iter_100000_intensity_minmax.npy,0.759837489702366,1.0048591735576161e-14,32,8.94427190999916,0.05,minmax,100000.0,,,,,,
283,0,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.000_reg_2.5.npy,0.016372583434466313,7.105427357601002e-15,52,14.594519519326425,,,,2.5,,,,,
338,0,KBCM,kbcm_bary/bary_noiselvl_0.000_reg_0.001_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,0.008997207440706805,0.1747767756505606,64,18.075795279876345,,,,0.001,100.0,4.0,,,
374,0,TLp-BI,tlp_bary/bary_noiselvl_0.000_reg_0.001_eta_0.001_outer-inner_10-100_samples_10_intensity_minmax.npy,0.018217994147763983,6.537874217542157e-06,2,34.64823227814083,,minmax,,0.001,,,0.001,10-100,10.0
75,0.1,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.100_eps_0.01_iter_100_intensity_minmax.npy,0.8468912748596,0.0973431880900751,23,6.527533657682197,0.01,minmax,100.0,,,,,,
289,0.1,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.100_reg_0.05.npy,0.003078744622810602,0.0059774245789225924,52,14.594519519326425,,,,0.05,,,,,
345,0.1,KBCM,kbcm_bary/bary_noiselvl_0.100_reg_0.001_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,0.005125128523997205,0.1487509267566798,67,18.941386417128633,,,,0.001,100.0,4.0,,,
447,0.1,TLp-BI,tlp_bary/bary_noiselvl_0.100_reg_0.001_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,0.00843979379284193,0.15276954303770296,39,11.084755065936049,,minmax,,0.001,,,1.0,10-100,10.0
128,0.2,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.200_eps_0.01_iter_100_intensity_minmax.npy,0.9240848837261322,0.011572158179109041,12,3.3166247903554,0.01,minmax,100.0,,,,,,
302,0.2,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.200_reg_0.05.npy,0.001942700206886809,0.0027301616188452156,36,10.246950765959598,,,,0.05,,,,,
352,0.2,KBCM,kbcm_bary/bary_noiselvl_0.200_reg_0.001_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,0.003217989832779382,0.14736426076903567,71,20.04572238447627,,,,0.001,100.0,4.0,,,
503,0.2,TLp-BI,tlp_bary/bary_noiselvl_0.200_reg_0.001_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,0.0056536140182763496,0.08437655239209609,33,9.276885579794873,,minmax,,0.001,,,1.0,10-100,10.0
188,0.5,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_0.500_eps_0.1_iter_5000_intensity_minmax.npy,0.4593708811499956,0.0649843164319781,43,12.190350739941435,0.1,minmax,5000.0,,,,,,
315,0.5,Entropic Regularized,entropic_reg_bary/bary_noiselvl_0.500_reg_0.05.npy,0.0009099253739491443,0.11649208328816733,67,22.08869502168913,,,,0.05,,,,,
359,0.5,KBCM,kbcm_bary/bary_noiselvl_0.500_reg_0.001_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,0.0008490957677700357,0.8285692730140325,656,196.72748732267357,,,,0.001,100.0,4.0,,,
555,0.5,TLp-BI,tlp_bary/bary_noiselvl_0.500_reg_0.001_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,0.0016297959545431696,0.19002671842815902,46,13.561454327551338,,minmax,,0.001,,,1.0,10-100,10.0
226,1,Debiased Sinkhorn,debiased_sink_bary/bary_noiselvl_1.000_eps_0.001_iter_10000_intensity_minmax.npy,0.13157648422794366,0.02502346768269126,2489,719.3896049962198,0.001,minmax,10000.0,,,,,,
329,1,Entropic Regularized,entropic_reg_bary/bary_noiselvl_1.000_reg_0.1.npy,0.0002064541909157258,0.005988217642643365,2500,721.5434844830907,,,,0.1,,,,,
371,1,KBCM,kbcm_bary/bary_noiselvl_1.000_reg_1_c_-0.5_iters_100_sample_4_intensity_maxmin.npy,0.0004962538824596976,4.778680720003322,2361,680.4405460594835,,,,1.0,100.0,4.0,,,
607,1,TLp-BI,tlp_bary/bary_noiselvl_1.000_reg_0.001_eta_1_outer-inner_10-100_samples_10_intensity_minmax.npy,0.0005219939215032381,0.17096894269467652,2488,717.7183546879295,,minmax,,0.001,,,1.0,10-100,10.0
