noise_level,max_amplitude,center_distance,above-thld_pixels,above-thld_pixels_std,algorithm,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
0,0.008702105995621745,[22.61834244 28.88117111],41,"[[26.01172344]
 [30.69519705]]",TLp-BI,0.001,minmax,10-100,0.001,5.0,,,,
0,0.008702105995621745,[22.61834244 28.88117111],41,"[[26.01172344]
 [30.69519705]]",TLp-BI,0.001,zeroone,10-100,0.001,5.0,,,,
0,0.00872533730313137,[22.61897266 28.87952   ],41,"[[26.01172344]
 [30.69519705]]",TLp-BI,0.05,minmax,10-100,0.001,5.0,,,,
0,0.00872533730313137,[22.61897266 28.87952   ],41,"[[26.01172344]
 [30.69519705]]",TLp-BI,0.05,zeroone,10-100,0.001,5.0,,,,
0,0.008749214661445055,[22.6196156  28.87783182],41,"[[26.01172344]
 [30.69519705]]",TLp-BI,0.1,minmax,10-100,0.001,5.0,,,,
0,0.008749214661445055,[22.6196156  28.87783182],41,"[[26.01172344]
 [30.69519705]]",TLp-BI,0.1,zeroone,10-100,0.001,5.0,,,,
0,0.009049783525805693,[22.67991911 28.59372226],37,"[[25.85824141]
 [29.98062437]]",TLp-BI,0.7,minmax,10-100,0.001,5.0,,,,
0,0.009049783525805693,[22.67991911 28.59372226],37,"[[25.85824141]
 [29.98062437]]",TLp-BI,0.7,zeroone,10-100,0.001,5.0,,,,
0,0.006877488531617962,[23.43433911 25.77003935],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.001,minmax,10-100,0.01,5.0,,,,
0,0.006877488531617962,[23.43433911 25.77003935],87,"[[17.05164569]
 [17.63421439]]",TLp-BI,0.001,zeroone,10-100,0.01,5.0,,,,
0,0.006878615101598607,[23.42980699 25.72816603],86,"[[17.04713029]
 [17.23571198]]",TLp-BI,0.05,minmax,10-100,0.01,5.0,,,,
0,0.006878615101598607,[23.42980699 25.72816603],86,"[[17.04713029]
 [17.23571198]]",TLp-BI,0.05,zeroone,10-100,0.01,5.0,,,,
0,0.006879765187623831,[23.42980442 25.72817239],86,"[[17.04713029]
 [17.23571198]]",TLp-BI,0.1,minmax,10-100,0.01,5.0,,,,
0,0.006879765187623831,[23.42980442 25.72817239],86,"[[17.04713029]
 [17.23571198]]",TLp-BI,0.1,zeroone,10-100,0.01,5.0,,,,
0,0.006893607706788398,[23.4297735  25.72824895],86,"[[17.04713029]
 [17.23571198]]",TLp-BI,0.7,minmax,10-100,0.01,5.0,,,,
0,0.006893607706788398,[23.4297735  25.72824895],86,"[[17.04713029]
 [17.23571198]]",TLp-BI,0.7,zeroone,10-100,0.01,5.0,,,,
0,0.0019990266058656034,[23.40806261 25.8069635 ],293,"[[58.50226798]
 [58.40075739]]",TLp-BI,0.001,minmax,10-100,0.05,5.0,,,,
0,0.0019990266058656034,[23.40806261 25.8069635 ],293,"[[58.50226798]
 [58.40075739]]",TLp-BI,0.001,zeroone,10-100,0.05,5.0,,,,
0,0.0019990572716245348,[23.40806254 25.80696346],293,"[[58.50226798]
 [58.40075739]]",TLp-BI,0.05,minmax,10-100,0.05,5.0,,,,
0,0.0019990572716245348,[23.40806254 25.80696346],293,"[[58.50226798]
 [58.40075739]]",TLp-BI,0.05,zeroone,10-100,0.05,5.0,,,,
0,0.001999088565088315,[23.40806246 25.80696341],293,"[[58.50226798]
 [58.40075739]]",TLp-BI,0.1,minmax,10-100,0.05,5.0,,,,
0,0.001999088565088315,[23.40806246 25.80696341],293,"[[58.50226798]
 [58.40075739]]",TLp-BI,0.1,zeroone,10-100,0.05,5.0,,,,
0,0.0019994642342826717,[23.40806154 25.80696287],293,"[[58.50226798]
 [58.40075739]]",TLp-BI,0.7,minmax,10-100,0.05,5.0,,,,
