,noise_level,algorithm,above-thld_pixels,max_amplitude,center_distance,above-thld_pixels_std,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
328,0.0,Debiased Sinkhorn,32.0,0.7598374897023631,[24.5 24.5],"[[6.32455532]
 [6.32455532]]",,minmax,,,,,,0.05,10000000.0
329,0.0,Debiased Sinkhorn,32.0,0.759837489702366,[24.5 24.5],"[[6.32455532]
 [6.32455532]]",,minmax,,,,,,0.05,100000.0
404,0.0,Entropic Regularized,52.0,0.015369753391953653,[24.5 24.5],"[[10.31988372]
 [10.31988372]]",,,,4.0,,,,,
240,0.0,KBCM,55.0,0.010283151490657632,[23.40567239 25.67939446],"[[10.89787302]
 [11.00247906]]",,,,0.001,5.0,100.0,,,
6,0.0,TLp-BI,37.0,0.009049783525805693,[22.67991911 28.59372226],"[[25.85824141]
 [29.98062437]]",0.7,minmax,10-100,0.001,5.0,,,,
7,0.0,TLp-BI,37.0,0.009049783525805693,[22.67991911 28.59372226],"[[25.85824141]
 [29.98062437]]",0.7,zeroone,10-100,0.001,5.0,,,,
350,0.1,Debiased Sinkhorn,372.0,0.09714773807157727,[24.49967178 24.4976936 ],"[[74.90327096]
 [73.50170066]]",,minmax,,,,,,0.5,1000.0
408,0.1,Entropic Regularized,52.0,0.003078744622810539,[24.5043928  24.49594625],"[[10.31988372]
 [10.31988372]]",,,,0.05,,,,,
256,0.1,KBCM,58.0,0.00589791561661555,[23.35963523 25.67830629],"[[11.8616304]
 [11.2866262]]",,,,0.001,5.0,100.0,,,
54,0.1,TLp-BI,40.0,0.008710473832650471,[23.36052094 25.74649251],"[[8.2188807 ]
 [7.79422863]]",0.7,minmax,10-100,0.001,5.0,,,,
55,0.1,TLp-BI,40.0,0.008710473832650471,[23.36052094 25.74649251],"[[8.2188807 ]
 [7.79422863]]",0.7,zeroone,10-100,0.001,5.0,,,,
362,0.2,Debiased Sinkhorn,82.0,0.30775387360933754,[24.56962513 24.56695474],"[[16.33864191]
 [16.33864191]]",,minmax,,,,,,0.2,3000.0
417,0.2,Entropic Regularized,36.0,0.0019427002068868173,[24.50204595 24.49819228],"[[7.24568837]
 [7.24568837]]",,,,0.05,,,,,
272,0.2,KBCM,61.0,0.0037188416566536703,[23.28888138 25.67140672],"[[12.35539306]
 [11.98838235]]",,,,0.001,5.0,100.0,,,
96,0.2,TLp-BI,32.0,0.005907216165931621,[23.46354588 25.55333817],"[[6.32455532]
 [6.32455532]]",0.001,minmax,10-100,0.001,5.0,,,,
97,0.2,TLp-BI,32.0,0.005907216165931621,[23.46354588 25.55333817],"[[6.32455532]
 [6.32455532]]",0.001,zeroone,10-100,0.001,5.0,,,,
98,0.2,TLp-BI,32.0,0.005908234853643035,[23.46354116 25.55335907],"[[6.32455532]
 [6.32455532]]",0.05,minmax,10-100,0.001,5.0,,,,
99,0.2,TLp-BI,32.0,0.005908234853643035,[23.46354116 25.55335907],"[[6.32455532]
 [6.32455532]]",0.05,zeroone,10-100,0.001,5.0,,,,
100,0.2,TLp-BI,32.0,0.0059092740487068285,[23.46353634 25.55338041],"[[6.32455532]
 [6.32455532]]",0.1,minmax,10-100,0.001,5.0,,,,
101,0.2,TLp-BI,32.0,0.0059092740487068285,[23.46353634 25.55338041],"[[6.32455532]
 [6.32455532]]",0.1,zeroone,10-100,0.001,5.0,,,,
102,0.2,TLp-BI,32.0,0.005921721597675524,[23.46347882 25.55363691],"[[6.32455532]
 [6.32455532]]",0.7,minmax,10-100,0.001,5.0,,,,
103,0.2,TLp-BI,32.0,0.005921721597675524,[23.46347882 25.55363691],"[[6.32455532]
 [6.32455532]]",0.7,zeroone,10-100,0.001,5.0,,,,
375,0.5,Debiased Sinkhorn,361.0,0.1403386366607774,[24.51714504 24.44179491],"[[72.95849387]
 [71.16431768]]",,minmax,,,,,,0.2,3000.0
376,0.5,Debiased Sinkhorn,361.0,0.1403386366607774,[24.51714504 24.44179491],"[[72.95849387]
 [71.16431768]]",,minmax,,,,,,0.2,4000.0
426,0.5,Entropic Regularized,67.0,0.0009099253739491588,[24.50961901 24.61609427],"[[16.68407052]
 [14.47591927]]",,,,0.05,,,,,
288,0.5,KBCM,342.0,0.0010135116939178359,[23.05108371 26.5235599 ],"[[60.83175917]
 [92.62200741]]",,,,0.001,5.0,100.0,,,
144,0.5,TLp-BI,37.0,0.0019097278209665649,[23.29927076 25.58551337],"[[7.94576209]
 [7.09586861]]",0.001,minmax,10-100,0.001,5.0,,,,
145,0.5,TLp-BI,37.0,0.0019097278209665649,[23.29927076 25.58551337],"[[7.94576209]
 [7.09586861]]",0.001,zeroone,10-100,0.001,5.0,,,,
146,0.5,TLp-BI,37.0,0.0019098439647190558,[23.29927705 25.58551121],"[[7.94576209]
 [7.09586861]]",0.05,minmax,10-100,0.001,5.0,,,,
147,0.5,TLp-BI,37.0,0.0019098439647190558,[23.29927705 25.58551121],"[[7.94576209]
 [7.09586861]]",0.05,zeroone,10-100,0.001,5.0,,,,
148,0.5,TLp-BI,37.0,0.0019099625013750809,[23.29928346 25.58550899],"[[7.94576209]
 [7.09586861]]",0.1,minmax,10-100,0.001,5.0,,,,
149,0.5,TLp-BI,37.0,0.0019099625013750809,[23.29928346 25.58550899],"[[7.94576209]
 [7.09586861]]",0.1,zeroone,10-100,0.001,5.0,,,,
150,0.5,TLp-BI,37.0,0.001911386725241445,[23.29936052 25.58548244],"[[7.94576209]
 [7.09586861]]",0.7,minmax,10-100,0.001,5.0,,,,
151,0.5,TLp-BI,37.0,0.001911386725241445,[23.29936052 25.58548244],"[[7.94576209]
 [7.09586861]]",0.7,zeroone,10-100,0.001,5.0,,,,
384,1.0,Debiased Sinkhorn,2500.0,0.05447176622391077,[24.49834246 24.49872887],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,1e-05,100.0
385,1.0,Debiased Sinkhorn,2500.0,0.09166149946460224,[24.49233494 24.49188721],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.01,100000.0
386,1.0,Debiased Sinkhorn,2500.0,0.08194611303367323,[24.49234247 24.49190028],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.05,100000.0
387,1.0,Debiased Sinkhorn,2500.0,0.051540996712656426,[24.49234397 24.49191167],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.2,2500.0
388,1.0,Debiased Sinkhorn,2500.0,0.051540996712656426,[24.49234397 24.49191167],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.2,3000.0
389,1.0,Debiased Sinkhorn,2500.0,0.051540996712656426,[24.49234397 24.49191167],"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,0.2,4000.0
