,noise_level,algorithm,above-thld_pixels_std,max_amplitude,center_distance,above-thld_pixels,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
328,0.0,Debiased Sinkhorn,8.94427190952291,0.7598374897023631,[24.5 24.5],32.0,,minmax,,,,,,0.05,10000000.0
329,0.0,Debiased Sinkhorn,8.94427190952291,0.759837489702366,[24.5 24.5],32.0,,minmax,,,,,,0.05,100000.0
404,0.0,Entropic Regularized,14.59451951893731,0.015369753391953653,[24.5 24.5],52.0,,,,4.0,,,,,
240,0.0,KBCM,15.486064116675433,0.010283151490657632,[23.40567239 25.67939446],55.0,,,,0.001,5.0,100.0,,,
10,0.0,TLp-BI,24.241997000695942,0.006878615101598607,[23.42980699 25.72816603],86.0,0.05,minmax,10-100,0.01,5.0,,,,
11,0.0,TLp-BI,24.241997000695942,0.006878615101598607,[23.42980699 25.72816603],86.0,0.05,zeroone,10-100,0.01,5.0,,,,
12,0.0,TLp-BI,24.241997000695942,0.006879765187623831,[23.42980442 25.72817239],86.0,0.1,minmax,10-100,0.01,5.0,,,,
13,0.0,TLp-BI,24.241997000695942,0.006879765187623831,[23.42980442 25.72817239],86.0,0.1,zeroone,10-100,0.01,5.0,,,,
14,0.0,TLp-BI,24.241997000695942,0.006893607706788397,[23.4297735  25.72824895],86.0,0.7,minmax,10-100,0.01,5.0,,,,
15,0.0,TLp-BI,24.241997000695942,0.006893607706788397,[23.4297735  25.72824895],86.0,0.7,zeroone,10-100,0.01,5.0,,,,
350,0.1,Debiased Sinkhorn,104.94284158731087,0.09714773807157727,[24.49967178 24.4976936 ],372.0,,minmax,,,,,,0.5,1000.0
408,0.1,Entropic Regularized,14.59451951893731,0.003078744622810539,[24.5043928  24.49594625],52.0,,,,0.05,,,,,
256,0.1,KBCM,16.373338288960213,0.00589791561661555,[23.35963523 25.67830629],58.0,,,,0.001,5.0,100.0,,,
54,0.1,TLp-BI,11.326958987192642,0.008710473832650471,[23.36052094 25.74649251],40.0,0.7,minmax,10-100,0.001,5.0,,,,
55,0.1,TLp-BI,11.326958987192642,0.008710473832650471,[23.36052094 25.74649251],40.0,0.7,zeroone,10-100,0.001,5.0,,,,
362,0.2,Debiased Sinkhorn,23.10632897987945,0.30775387360933754,[24.56962513 24.56695474],82.0,,minmax,,,,,,0.2,3000.0
417,0.2,Entropic Regularized,10.246950761583005,0.0019427002068868173,[24.50204595 24.49819228],36.0,,,,0.05,,,,,
272,0.2,KBCM,17.21560481182371,0.0037188416566536703,[23.28888138 25.67140672],61.0,,,,0.001,5.0,100.0,,,
96,0.2,TLp-BI,8.94427190952291,0.005907216165931621,[23.46354588 25.55333817],32.0,0.001,minmax,10-100,0.001,5.0,,,,
97,0.2,TLp-BI,8.94427190952291,0.005907216165931621,[23.46354588 25.55333817],32.0,0.001,zeroone,10-100,0.001,5.0,,,,
98,0.2,TLp-BI,8.94427190952291,0.005908234853643035,[23.46354116 25.55335907],32.0,0.05,minmax,10-100,0.001,5.0,,,,
99,0.2,TLp-BI,8.94427190952291,0.005908234853643035,[23.46354116 25.55335907],32.0,0.05,zeroone,10-100,0.001,5.0,,,,
100,0.2,TLp-BI,8.94427190952291,0.0059092740487068285,[23.46353634 25.55338041],32.0,0.1,minmax,10-100,0.001,5.0,,,,
101,0.2,TLp-BI,8.94427190952291,0.0059092740487068285,[23.46353634 25.55338041],32.0,0.1,zeroone,10-100,0.001,5.0,,,,
102,0.2,TLp-BI,8.94427190952291,0.005921721597675524,[23.46347882 25.55363691],32.0,0.7,minmax,10-100,0.001,5.0,,,,
103,0.2,TLp-BI,8.94427190952291,0.005921721597675524,[23.46347882 25.55363691],32.0,0.7,zeroone,10-100,0.001,5.0,,,,
375,0.5,Debiased Sinkhorn,101.918113888743,0.1403386366607774,[24.51714504 24.44179491],361.0,,minmax,,,,,,0.2,3000.0
376,0.5,Debiased Sinkhorn,101.918113888743,0.1403386366607774,[24.51714504 24.44179491],361.0,,minmax,,,,,,0.2,4000.0
