,noise_level,algorithm,center_distance,max_amplitude,above-thld_pixels,above-thld_pixels_std,eta,intensity,outer-inner,reg,samples,iters,sample,epsilon,iter
325,0.0,Debiased Sinkhorn,0.0,0.5430056278475031,60.0,"[[11.97914855]
 [11.97914855]]",,minmax,,,,,,0.01,100000000.0
326,0.0,Debiased Sinkhorn,0.0,0.5430056278475031,60.0,"[[11.97914855]
 [11.97914855]]",,minmax,,,,,,0.01,1000000.0
327,0.0,Debiased Sinkhorn,0.0,0.5430056278474953,60.0,"[[11.97914855]
 [11.97914855]]",,minmax,,,,,,0.01,100000.0
328,0.0,Debiased Sinkhorn,0.0,0.7598374897023631,32.0,"[[6.32455532]
 [6.32455532]]",,minmax,,,,,,0.05,10000000.0
329,0.0,Debiased Sinkhorn,0.0,0.759837489702366,32.0,"[[6.32455532]
 [6.32455532]]",,minmax,,,,,,0.05,100000.0
334,0.0,Debiased Sinkhorn,0.0,0.2350782133015793,96.0,"[[19.18332609]
 [19.18332609]]",,minmax,,,,,,0.5,500.0
335,0.0,Debiased Sinkhorn,0.0,0.2806805610071299,80.0,"[[15.93737745]
 [15.93737745]]",,minmax,,,,,,0.5,750.0
337,0.0,Debiased Sinkhorn,0.0,0.07460281527323838,316.0,"[[63.01983815]
 [63.01983815]]",,minmax,,,,,,0.7,100.0
338,0.0,Debiased Sinkhorn,0.0,0.20827250779301387,112.0,"[[22.3159136]
 [22.3159136]]",,minmax,,,,,,0.7,750.0
400,0.0,Entropic Regularized,0.0,0.012481019515868698,72.0,"[[13.15294644]
 [15.77973384]]",,,,0.1,,,,,
401,0.0,Entropic Regularized,0.0,0.009628511316654155,80.0,"[[17.02938637]
 [15.03329638]]",,,,0.5,,,,,
402,0.0,Entropic Regularized,0.0,0.008130325944645824,92.0,"[[19.17028951]
 [17.53567792]]",,,,0.75,,,,,
403,0.0,Entropic Regularized,0.0,0.007054965212358542,100.0,"[[21.64486082]
 [18.34393633]]",,,,1.0,,,,,
404,0.0,Entropic Regularized,0.0,0.015369753391953653,52.0,"[[10.31988372]
 [10.31988372]]",,,,4.0,,,,,
253,0.0,KBCM,0.3251424273287382,0.00023033834422472987,2500.0,"[[510.2082908]
 [510.2082908]]",,,,0.6,5.0,100.0,,,
40,0.0,TLp-BI,0.3034709031252583,0.00018350566861089596,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,minmax,10-100,0.9,5.0,,,,
41,0.0,TLp-BI,0.3034709031252583,0.00018350566861089596,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,zeroone,10-100,0.9,5.0,,,,
350,0.1,Debiased Sinkhorn,0.0023296371666833822,0.09714773807157727,372.0,"[[74.90327096]
 [73.50170066]]",,minmax,,,,,,0.5,1000.0
409,0.1,Entropic Regularized,0.0038414083371229976,0.002557780320678776,60.0,"[[11.97914855]
 [11.97914855]]",,,,0.1,,,,,
269,0.1,KBCM,0.22288437865576655,0.00022432296188460717,2500.0,"[[510.2082908]
 [510.2082908]]",,,,0.6,5.0,100.0,,,
88,0.1,TLp-BI,0.18157284318208494,0.00017544585732485858,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,minmax,10-100,0.9,5.0,,,,
89,0.1,TLp-BI,0.18157284318208494,0.00017544585732485858,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,zeroone,10-100,0.9,5.0,,,,
357,0.2,Debiased Sinkhorn,0.007409730222869303,0.026702652162441932,2500.0,"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,1e-05,100.0
417,0.2,Entropic Regularized,0.002730158054196241,0.0019427002068868173,36.0,"[[7.24568837]
 [7.24568837]]",,,,0.05,,,,,
285,0.2,KBCM,0.17609765402058344,0.0002231292964906535,2500.0,"[[510.2082908]
 [510.2082908]]",,,,0.6,5.0,100.0,,,
136,0.2,TLp-BI,0.13643989985246172,0.00017349763126333321,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,minmax,10-100,0.9,5.0,,,,
137,0.2,TLp-BI,0.13643989985246172,0.00017349763126333321,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,zeroone,10-100,0.9,5.0,,,,
371,0.5,Debiased Sinkhorn,0.004637577021355751,0.042014450405152115,2500.0,"[[510.2082908]
 [510.2082908]]",,minmax,,,,,,1e-05,100.0
427,0.5,Entropic Regularized,0.004139843593339131,0.00012193795334587872,2500.0,"[[510.2082908]
 [510.2082908]]",,,,0.1,,,,,
301,0.5,KBCM,0.11906060424592645,0.00022373803438340318,2500.0,"[[510.2082908]
 [510.2082908]]",,,,0.6,5.0,100.0,,,
184,0.5,TLp-BI,0.08774951366771568,0.00017248871372004806,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,minmax,10-100,0.9,5.0,,,,
185,0.5,TLp-BI,0.08774951366771568,0.00017248871372004806,2500.0,"[[510.2082908]
 [510.2082908]]",0.001,zeroone,10-100,0.9,5.0,,,,
