,noise level,max amplitude,above-thld pixels,above-thld pixels std,algorithm,c,reg,eps
0,0.0,0.006312659185684521,"[[17 17 17 17 17 18 18 18 18 18 18 18 19 19 19 19 19 19 19 19 19 20 20 20
  20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 22 22 22 22 22 22 22
  22 22 22 22 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24 24 24 25
  25 25 25 25 25 25 25 26 26 26 26 26 26]
 [26 27 28 29 30 25 26 27 28 29 30 31 24 25 26 27 28 29 30 31 32 24 25 26
  27 28 29 30 31 32 23 24 25 26 27 28 29 30 31 32 33 23 24 25 26 27 28 29
  30 31 32 33 23 24 25 26 27 28 29 30 31 32 24 25 26 27 28 29 30 31 32 24
  25 26 27 28 29 30 31 25 26 27 28 29 30]]","[[16.82540097]
 [17.09248201]]",kbcm,-0.5,0.01,
1,0.0,0.0018788753418581138,"[[12 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14 14 14 14 14 14 14 14
  14 15 15 15 15 15 15 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16
  16 16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
  18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 19 19 19 19 19 19
  19 19 19 19 19 19 19 19 19 19 19 19 19 20 20 20 20 20 20 20 20 20 20 20
  20 20 20 20 20 20 20 20 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21
  21 21 21 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23
  23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24 24 24 24 24
  24 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25 25 25 25 25 25 25 25 25
  25 25 25 25 25 25 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27
  27 27 27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28
  28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 29 30 30 30 30 30
  30 30 30 30 30 31 31 31 31 31]
 [26 27 28 29 24 25 26 27 28 29 30 31 32 22 23 24 25 26 27 28 29 30 31 32
  33 21 22 23 24 25 26 27 28 29 30 31 32 33 34 20 21 22 23 24 25 26 27 28
  29 30 31 32 33 34 35 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
  19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 19 20 21 22 23 24
  25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29
  30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
  35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20
  21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25
  26 27 28 29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30
  31 32 33 34 35 36 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 20
  21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 21 22 23 24 25 26 27 28 29
  30 31 32 33 34 35 22 23 24 25 26 27 28 29 30 31 32 33 34 23 24 25 26 27
  28 29 30 31 32 26 27 28 29 30]]","[[60.17916483]
 [58.70355511]]",kbcm,-0.5,0.05,
2,0.0,0.001341613004129614,"[[10 10 10 10 11 11 11 11 11 11 11 11 11 11 12 12 12 12 12 12 12 12 12 12
  12 12 12 12 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 14 14 14 14
  14 14 14 14 14 14 14 14 14 14 14 14 14 14 15 15 15 15 15 15 15 15 15 15
  15 15 15 15 15 15 15 15 15 16 16 16 16 16 16 16 16 16 16 16 16 16 16 16
  16 16 16 16 16 16 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17
  17 17 17 17 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18
  18 18 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
  19 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
  21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 21 22
  22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 22 23 23
  23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 24 24 24
  24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 25 25 25 25
  25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 26 26 26 26 26 26
  26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 27 27 27 27 27 27 27 27
  27 27 27 27 27 27 27 27 27 27 27 27 27 28 28 28 28 28 28 28 28 28 28 28
  28 28 28 28 28 28 28 28 28 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
  29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 31 31 31 31 31
  31 31 31 31 31 31 31 31 31 32 32 32 32 32 32 32 32 32 32 32 33 33 33 33
  33 33]
 [26 27 28 29 23 24 25 26 27 28 29 30 31 32 21 22 23 24 25 26 27 28 29 30
  31 32 33 34 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 19 20 21 22
  23 24 25 26 27 28 29 30 31 32 33 34 35 36 19 20 21 22 23 24 25 26 27 28
  29 30 31 32 33 34 35 36 37 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32
  33 34 35 36 37 38 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34
  35 36 37 38 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
  37 38 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38
  39 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39
  17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 17
  18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 17 18
  19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 17 18 19
  20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 17 18 19 20
  21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 17 18 19 20 21 22
  23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 18 19 20 21 22 23 24 25
  26 27 28 29 30 31 32 33 34 35 36 37 38 18 19 20 21 22 23 24 25 26 27 28
  29 30 31 32 33 34 35 36 37 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33
  34 35 36 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 21 22 23 24 25
  26 27 28 29 30 31 32 33 34 23 24 25 26 27 28 29 30 31 32 33 25 26 27 28
  29 30]]","[[87.31784859]
 [85.83442425]]",kbcm,-0.5,0.075,
3,0.0,0.001069079319627461,"[[ 9  9  9 ... 34 34 35]
 [23 24 25 ... 31 32 28]]","[[112.48761612]
 [113.32769724]]",kbcm,-0.5,0.1,
4,0.0,0.0005976678928912931,"[[ 1  1  1 ... 42 42 42]
 [23 24 25 ... 30 31 32]]","[[278.43580948]
 [278.43580948]]",kbcm,-0.5,0.25,
5,0.0,0.0004888445179708843,"[[ 0  0  0 ... 48 48 48]
 [12 13 14 ... 30 31 32]]","[[417.21858569]
 [416.98654273]]",kbcm,-0.5,0.4,
6,0.0,0.0004542256006707803,"[[ 0  0  0 ... 49 49 49]
 [ 6  7  8 ... 38 39 40]]","[[473.57889292]
 [473.52265254]]",kbcm,-0.5,0.5,
7,0.0,0.0004319345285386342,"[[ 0  0  0 ... 49 49 49]
 [ 2  3  4 ... 44 45 46]]","[[498.61261815]
 [498.85828794]]",kbcm,-0.5,0.6,
8,0.0,,[],"[[0.]
 [0.]]",kbcm,-0.5,0.9,
9,0.05,0.0009298186944807441,"[[ 8  8  8 ... 35 35 35]
 [24 25 26 ... 29 30 31]]","[[124.52676362]
 [114.74575947]]",kbcm,-0.5,0.05,
